Language	Stars	GitHub Link
NL2code	186	https://github.com/pcyin/NL2code
PLBART	186	https://github.com/wasiahmad/PLBART
3body-lang	186	https://github.com/rustq/3body-lang
brain	184	https://github.com/sunjay/brain
newrustacean.com	184	https://github.com/chriskrycho/newrustacean.com
disco	181	https://github.com/disco-lang/disco
han	180	https://github.com/xodn348/han
acton	180	https://github.com/actonlang/acton
naskah	180	https://github.com/pveyes/naskah
finkel	177	https://github.com/finkel-lang/finkel
grokkingfp-examples	176	https://github.com/miciek/grokkingfp-examples
crust	176	https://github.com/onehr/crust
ditto	176	https://github.com/ditto/ditto
nymph	175	https://github.com/maelswarm/nymph
empirical-lang	174	https://github.com/empirical-soft/empirical-lang
tu	174	https://github.com/tu-lang/tu
cpl	173	https://github.com/msakai/cpl
emacs-cl	173	https://github.com/larsbrinkhoff/emacs-cl
ldpl	173	https://github.com/Lartu/ldpl
mlatu	173	https://github.com/mlatu-lang/mlatu
shell-plus-plus	172	https://github.com/alexst07/shell-plus-plus
temper	171	https://github.com/temperlang/temper
Kompilierer	169	https://github.com/DDP-Projekt/Kompilierer
contracode	169	https://github.com/parasj/contracode
opshin	168	https://github.com/OpShin/opshin
nullc	168	https://github.com/WheretIB/nullc
ocean	167	https://github.com/riicchhaarrd/ocean
plasma	167	https://github.com/PlasmaLang/plasma
fanx	167	https://github.com/fanx-dev/fanx
newspeak	167	https://github.com/newspeaklanguage/newspeak
llrl	167	https://github.com/yubrot/llrl
rhine	166	https://github.com/artagnon/rhine
axe	165	https://github.com/axelang/axe
nash	165	https://github.com/madlambda/nash
pretty_laughable_lang	165	https://github.com/byo-books/pretty_laughable_lang
english-script	165	https://github.com/pannous/english-script
objeck-lang	165	https://github.com/objeck/objeck-lang
lazurite	164	https://github.com/k1ngmang/lazurite
coda	163	https://github.com/ekmett/coda
oberonc	163	https://github.com/lboasso/oberonc
aqua	162	https://github.com/fluencelabs/aqua
BuildYourOwnLispCn	160	https://github.com/ksco/BuildYourOwnLispCn
gauntlet	160	https://github.com/gauntlet-lang/gauntlet
YDKGo	160	https://github.com/cedrickchee/YDKGo
fastbasic	159	https://github.com/dmsc/fastbasic
Sesterl	158	https://github.com/gfngfn/Sesterl
DSA-Java	158	https://github.com/Utkarsh1504/DSA-Java
savi	157	https://github.com/savi-lang/savi
savetheworldwithgo	156	https://github.com/juanmanuel-tirado/savetheworldwithgo
sarl	155	https://github.com/sarl/sarl
FreeOberon	155	https://github.com/kekcleader/FreeOberon
spookyc	154	https://github.com/ftripier/spookyc
Q-Operating-System	154	https://github.com/raphydaphy/Q-Operating-System
tea	154	https://github.com/tealang/tea
pikt	154	https://github.com/iamgio/pikt
solang	152	https://github.com/krzysztofsroga/solang
Jikka	152	https://github.com/kmyk-jikka/Jikka
slate-language	150	https://github.com/briantrice/slate-language
claro-lang	149	https://github.com/JasonSteving99/claro-lang
Feral	149	https://github.com/Feral-Lang/Feral
scheje	149	https://github.com/turbopape/scheje
programming-books-and-resources	149	https://github.com/xSavitar/programming-books-and-resources
compiler	148	https://github.com/HeliosLang/compiler
szl	148	https://github.com/dimkr/szl
flax	147	https://github.com/flax-lang/flax
gentee	146	https://github.com/gentee/gentee
wart	145	https://github.com/akkartik/wart
gaiman	145	https://github.com/jcubic/gaiman
knowledge-graph-language	144	https://github.com/capjamesg/knowledge-graph-language
AHHH	144	https://github.com/KyleM73/AHHH
eden	142	https://github.com/benzap/eden
golang-tips-100	141	https://github.com/ibarryyan/golang-tips-100
bruijn	141	https://github.com/marvinborner/bruijn
r4	141	https://github.com/phreda4/r4
BorrowChecker.jl	141	https://github.com/MilesCranmer/BorrowChecker.jl
hana	140	https://github.com/ffwff/hana
