Language	dirname	runtime	year	github link	github is mirror	gitlab link	sourcehut link	svn link	sourceforge link	wiki link	website link	github stars	Tiobe name	Tiobe Rank	Tiobe rating	pypl name	pypl rank	pypl share	redmonk name	redmonk rank	Linux	Free	CLI	Notes
(Visual) FoxPro	visual-foxpro			https://github.com/VFPX/Win32API								152	(Visual) FoxPro	50	0.23
ABAP	abap												ABAP	37	0.34	Abap	23	0.35			No	No	Limited	SAP-specific
ActionScript	actionscript												ActionScript	51							Yes	Freemium	Limited	Adobe Flash ecosystem
Ada	ada			https://github.com/AdaCore/gnatstudio						https://en.wikipedia.org/wiki/Ada_(programming_language)		503	Ada	20	0.91	Ada	11	2.51			Yes	Yes	Yes	GNAT compiler available
AssemblyScript	assemblyscript	Wasmtime
Emscripten	emscripten	Wasmtime
Go	go	Wasmtime
Grain	grain	Wasmtime
Kotlin	kotlin	Wasmtime
Moonbit	moonbit	Wasmtime
Rust	rust	Wasmtime
Switf	switf	Wasmtime
Zig	zig	Wasmtime
Julia	julia		2012	https://github.com/JuliaLang/julia						https://en.wikipedia.org/wiki/Julia_(programming_language)	https://julialang.org/	48,642	Julia	32	0.50	Julia	20	0.73
Kotlin	kotlin		2011	https://github.com/jetbrains/kotlin						https://en.wikipedia.org/wiki/Kotlin_(programming_language)	https://kotlinlang.org	52,655	Kotlin	24	0.65	Kotlin	17	0.90	Kotlin	14
LabVIEW	labview												LabVIEW	47	0.24						Yes	Freemium	Limited	Visual dataflow, proprietary
Ladder Logic	ladder-logic												Ladder Logic	48	0.24						Limited	Freemium	No	PLC-specific
Lisp	lisp			https://github.com/sbcl/sbcl						https://en.wikipedia.org/wiki/Lisp_(programming_language)		2,097	Lisp	31	0.50
livescript	livescript		2011	https://github.com/gkz/LiveScript						https://en.wikipedia.org/wiki/LiveScript_(programming_language)	http://livescript.net	2,360
Logo	logo			https://github.com/daxnet/logo-sharp						https://en.wikipedia.org/wiki/Logo_(programming_language)		18	Logo	77							Yes	Yes	Limited	Turtle graphics
LotusScript	lotusscript												LotusScript	78							No	No	No	Lotus Notes-specific
LPC	lpc												LPC	79							Yes	Yes	Yes	MUD programming
Lua	lua		1993	https://github.com/lua/lua	TRUE					https://en.wikipedia.org/wiki/Lua_(programming_language)	https://lua.org	9,933	Lua	30	0.51	Lua	18	0.86
luau	luau		2019	https://github.com/luau-lang/luau							https://luau.org	5,489
lux	lux		2014	https://github.com/LuxLang/lux								1,733
MATLAB	matlab									https://en.wikipedia.org/wiki/MATLAB			MATLAB	17	1.05	Matlab	13	1.51			Yes	No	Yes	Proprietary, expensive
mint	mint		2018	https://github.com/mint-lang/mint								4,246
ML	ml												ML	33	0.42						Yes	Yes	Yes	Functional, similar to OCaml
Mojo	mojo		2023	https://github.com/modular/modular						https://en.wikipedia.org/wiki/Mojo_(programming_language)		25,913	Mojo	80							Yes	Yes	Yes	Python superset, emerging
moonbit	moonbit		2022	https://github.com/moonbitlang/moonbit-docs								2,227
moonscript	moonscript		2011	https://github.com/leafo/moonscript							https://moonscript.org	3,430
MQL5	mql5												MQL5	81							Yes	Yes	Limited	MetaTrader trading language
Murex			2018	https://github.com/lmorg/murex							https://murex.rocks	1,879
nature	nature		2021	https://github.com/nature-lang/nature								2,243
nelua	nelua		2019	https://github.com/edubart/nelua-lang								2,379
NetLogo	netlogo			https://github.com/NetLogo/NetLogo								1,157	NetLogo	82							Yes	Yes	No	Agent-based modeling
Nim	nim		2008	https://github.com/nim-lang/nim						https://en.wikipedia.org/wiki/Nim_(programming_language)	https://nim-lang.org	17,954	Nim	83
numbat	numbat		2022	https://github.com/sharkdp/numbat								2,513
Nushell			2019	https://github.com/nushell/nushell							https://www.nushell.sh/	39,255
Objective-C	objective-c		1984	https://github.com/opensource-apple/objc4						https://en.wikipedia.org/wiki/Objective-C		1,194	Objective-C	27	0.59	Objective-C	10	2.57	Objective-C	18	Limited	Yes	Yes	Apple-centric
OCaml	ocaml		1996	https://github.com/ocaml/ocaml						https://en.wikipedia.org/wiki/OCaml	https://ocaml.org	6,294	OCaml	38	0.32
octave	octave		1988	https://github.com/gnu-octave/octave						https://en.wikipedia.org/wiki/GNU_Octave	https://www.gnu.org/software/octave/	605
odin	odin		2016	https://github.com/odin-lang/Odin							https://odin-lang.org	10,217
Oil			2016	https://github.com/oils-for-unix/oils							https://oils.pub/	3,319
OpenCL	opencl			https://github.com/KhronosGroup/OpenCL-SDK								755	OpenCL	84							Yes	Yes	Yes	GPU programming
pascal	pascal		1970	https://github.com/fpc/FPCSource	TRUE					https://en.wikipedia.org/wiki/Free_Pascal	https://www.freepascal.org/	133
passerine	passerine		2020	https://github.com/vrtbl/passerine								1,091
Perl	perl		1987	https://github.com/Perl/perl5						https://en.wikipedia.org/wiki/Perl	https://dev.perl.org/perl5/	2,269	Perl	12	1.48	Perl	28	0.10
pharo	pharo		2008	https://github.com/pharo-project/pharo						https://en.wikipedia.org/wiki/Pharo	http://pharo.org	1,450
PHP	php		1995	https://github.com/php/php-src						https://en.wikipedia.org/wiki/PHP	https://www.php.net	40,042	PHP	14	1.17	PHP	9	2.96	PHP	4
PL/I	pl-i												PL/I	85							Yes	Yes	Yes	Historical mainframe
PL/SQL	pl-sql												PL/SQL	21	0.80						Yes	Freemium	Yes	Oracle/PostgreSQL
pocketlang	pocketlang		2020	https://github.com/ThakeeNathees/pocketlang								1,540
Pony	pony		2015	https://github.com/ponylang/ponyc						https://en.wikipedia.org/wiki/Pony_(programming_language)		6,090										Yes		Actor-based concurrency language
PowerShell	powershell		2006	https://github.com/powershell/powershell						https://en.wikipedia.org/wiki/PowerShell	https://microsoft.com/PowerShell	53,228	PowerShell	45	0.25	Powershell	14	1.26	PowerShell	17
processing	processing		2001	https://github.com/processing/processing						https://en.wikipedia.org/wiki/Processing		6,491
Prolog	prolog			https://github.com/SWI-Prolog/swipl-devel						https://en.wikipedia.org/wiki/Prolog		1,224	Prolog	22	0.73						Yes	Yes	Yes	Logic programming
Pure Data	pure data			https://github.com/pure-data/pure-data								1,999	Pure Data	86							Yes	Yes	Limited	Audio/visual DSL
purescript	purescript		2013	https://github.com/purescript/purescript						https://en.wikipedia.org/wiki/PureScript		8,853
python		pocketpy	2023	https://github.com/pocketpy/pocketpy												#REF!	#REF!
Python	python		1990	https://github.com/python/cpython						https://en.wikipedia.org/wiki/Python_(programming_language)	https://www.python.org	72,518	Python	1	20.97	Python	1	36.21	Python	2
Q	q			https://github.com/KxSystems/kdb								464	Q	87							Yes	Yes	Yes	Time-series database
R	r		1993	https://github.com/wch/r-source	TRUE			https://svn.r-project.org/R/		https://en.wikipedia.org/wiki/R_(programming_language)	https://github.com/wch/r-source/wiki/	1,230	R	9	1.62	R	4	6.17	R	13
